ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-11-10T09:35:29Z;range_open;SELL;4083.0;2025-11-10-3;13951;0.95
2025-11-10T09:59:14Z;range_close;;;2025-11-10-3;13962;
2025-11-10T10:41:21Z;range_open;SELL;4083.0;2025-11-10-4;13966;0.95
2025-11-10T10:47:23Z;range_close;;;2025-11-10-4;13975;
2025-11-10T11:57:50Z;range_open;SELL;4082.0;2025-11-10-5;13977;0.95
2025-11-10T14:06:19Z;range_close;;;2025-11-10-5;13980;
2025-11-11T08:05:28Z;range_open;SELL;4135.0;2025-11-11-1;13985;0.95
2025-11-11T10:33:51Z;range_close;;;2025-11-11-1;14000;
2025-11-11T10:45:43Z;range_open;SELL;4140.0;2025-11-11-2;14003;0.95
2025-11-11T12:09:18Z;range_close;;;2025-11-11-2;14012;
2025-11-11T13:24:02Z;range_open;SELL;4143.0;2025-11-11-3;14015;0.95
2025-11-11T14:15:23Z;range_close;;;2025-11-11-3;14033;
2025-11-11T15:20:08Z;range_open;BUY;4114.0;2025-11-11-4;14035;0.95
2025-11-11T15:48:20Z;range_close;;;2025-11-11-4;14038;
2025-11-12T08:24:56Z;range_open;SELL;4129.0;2025-11-12-1;14044;0.95
2025-11-12T09:30:59Z;range_close;;;2025-11-12-1;14064;
2025-11-12T10:18:01Z;range_open;SELL;4127.0;2025-11-12-2;14066;0.95
2025-11-12T10:30:36Z;range_close;;;2025-11-12-2;14079;
2025-11-12T10:46:01Z;range_open;BUY;4127.0;2025-11-12-3;14081;0.90
2025-11-12T11:20:42Z;range_close;;;2025-11-12-3;14090;
2025-11-12T12:04:04Z;range_open;SELL;4127.0;2025-11-12-4;14093;0.95
2025-11-12T12:56:54Z;range_close;;;2025-11-12-4;14096;
2025-11-12T14:41:25Z;range_open;SELL;4138.0;2025-11-12-5;14100;0.95
2025-11-12T14:47:55Z;range_close;;;2025-11-12-5;14109;
2025-11-12T15:13:05Z;range_open;SELL;4157.0;2025-11-12-6;14111;0.95
2025-11-13T09:33:01Z;range_open;SELL;4233.0;2025-11-13-1;14122;0.95
2025-11-13T10:36:31Z;range_close;;;2025-11-13-1;14138;
2025-11-13T10:37:53Z;range_open;SELL;4230.0;2025-11-13-2;14140;0.95
2025-11-13T12:27:27Z;range_close;;;2025-11-13-2;14169;
2025-11-13T12:29:18Z;range_open;SELL;4233.0;2025-11-13-3;14171;0.95
2025-11-13T13:02:51Z;range_close;;;2025-11-13-3;14173;
